"Jan 01 2001- July 01 2001","[ webcvs]"
"Jul 02 2001- Jan 01 2002","[ skx]","[ eliz]"
"Jan 01 2002- July 01 2002","[ skx]"
"Jul 02 2002- Jan 01 2003","[ skx]"
"Jan 01 2003- July 01 2003","[ opus","  rms]"
"Jul 02 2003- Jan 01 2004","[ sinuhe]"
"Jan 01 2004- July 01 2004","[ karl]"
"Jul 02 2004- Jan 01 2005"
"Jan 01 2005- July 01 2005","[ rms]"
"Jul 02 2005- Jan 01 2006","[ karl]"
"Jan 01 2006- July 01 2006","[ ramprasadb]"
"Jul 02 2006- Jan 01 2007","[ karl]"
"Jan 01 2007- July 01 2007","[ cyd]","[ karl]"
"Jul 02 2007- Jan 01 2008","[ yavor]"
"Jan 01 2008- July 01 2008","[ cyd]"
"Jul 02 2008- Jan 01 2009","[ karl]"
"Jan 01 2009- July 01 2009","[ karl]"
"Jul 02 2009- Jan 01 2010","[ cyd]"
"Jan 01 2010- July 01 2010","[ cyd]"
"Jul 02 2010- Jan 01 2011","[ gm]"
"Jan 01 2011- July 01 2011","[ cyd]"
"Jul 02 2011- Jan 01 2012","[ gm]"
"Jan 01 2012- July 01 2012","[ cyd]"
"Jul 02 2012- Jan 01 2013","[ cyd]"
"Jan 01 2013- July 01 2013","[ gm]"
"Jul 02 2013- Jan 01 2014","[ gm]"
"Jan 01 2014- July 01 2014","[ gm]"
"Jul 02 2014- Jan 01 2015","[ gm]"
"Jan 01 2015- July 01 2015","[ nicolaspetton]"
"Jul 02 2015- Jan 01 2016"
